230001;Huỳnh Tuấn Anh;2009-09-17;nam;An Giang;230001@gmail.com;10A3
230002;Phạm Tuấn Anh;2009-03-07;nam;Tuyên Quang;230002@gmail.com;10A2
230003;Phạm Đình Ân;2009-08-02;nam;Tuyên Quang;230003@gmail.com;10A2
230004;Trần Hoàng Vĩnh Bảo;2009-11-17;nam;Kiên Giang;230004@gmail.com;10A3
230005;Hồ Thanh Bình;2009-10-31;nữ;Yên Bái;230005@gmail.com;10A1
230006;Lê Thái Bình;2009-07-18;nam;Quảng Bình;230006@gmail.com;10A3
230007;Võ Khải Hoàng Ca;2009-11-14;nam;Long An;230007@gmail.com;0
230008;Bùi Thái Chánh;2009-10-08;nam;Long An;230008@gmail.com;0
230009;Lê Minh Chánh;2009-10-07;nam;Vĩnh Long;230009@gmail.com;10A3
230010;Đinh Hồng Châu;2009-02-12;nam;Cao Bằng;230010@gmail.com;10A4
230011;Lê Minh Châu;2009-03-11;nữ;Hà Nội;230011@gmail.com;10A1
230012;Hà Thị Thùy Chi;2009-09-17;nữ;Lai Châu;230012@gmail.com;10A1
230013;Nguyễn Linh Chi;2009-02-25;nữ;Sóc Trăng;230013@gmail.com;10A1
230014;Nguyễn Thế Chiến;2009-08-07;nam;Hải Dương;230014@gmail.com;10A4
230015;Nguyễn Duy Chinh;2009-10-07;nam;Lào Cai;230015@gmail.com;10A4
230016;Phạm Trịnh Đồng;2009-08-02;nữ;Thanh Hóa;230016@gmail.com;10A4
230017;Nguyễn Lê Trúc Giang;2009-08-10;nữ;Hậu Giang;230017@gmail.com;10A3
230018;Đỗ Thị Ngọc Hiền;2009-02-09;nữ;Bắc Ninh;230018@gmail.com;10A3
230019;Phạm Huỳnh Đức Huy;2009-03-26;nam;Hưng Yên;230019@gmail.com;10A2
230020;Phạm Thị Thanh Huyền;2009-09-15;nữ;Bình Thuận;230020@gmail.com;10A3
230021;Bùi Thanh Kim;2009-05-07;nữ;Trà Vinh;230021@gmail.com;10A4
230022;Nguyễn Anh Linh;2009-06-11;nữ;Hà Giang;230022@gmail.com;10A1
230023;Nguyễn Ngọc Linh;2009-10-09;nữ;Bến Tre;230023@gmail.com;10A2
230024;Phạm Thanh Loan;2009-11-13;nữ;Long An;230024@gmail.com;10A2
230025;Lê Trần Thanh Mai;2009-01-28;nữ;Đắk Lắk;230025@gmail.com;0
230026;Ngô Thị Hồng Ngân;2009-05-17;nữ;Kiên Giang;230026@gmail.com;10A2
230027;Trần Phan Minh Nghi;2009-10-13;nữ;Tuyên Quang;230027@gmail.com;10A2
230028;Bùi Thị Mỹ Như;2009-11-17;nữ;Quảng Trị;230028@gmail.com;10A4
230029;Nguyễn Xuân Phú;2009-07-20;nữ;Sơn La;230029@gmail.com;10A2
230030;Nguyễn Ngọc Phúc;2009-11-18;nữ;Bắc Kạn;230030@gmail.com;10A3
230031;Nguyễn Hoài Phương;2009-08-09;nữ;Kon Tum;230031@gmail.com;10A4
230032;Cao Thị Huyền Sa;2009-06-28;nữ;Bà Rịa - Vũng Tàu;230032@gmail.com;10A3
230033;Vũ Thị Lan Thi;2009-09-05;nữ;Nghệ An;230033@gmail.com;10A1
230034;Hồ Quang Thịnh;2009-12-16;nam;Quảng Ninh;230034@gmail.com;10A1
230035;Trần Đức Thịnh;2009-06-12;nam;Quảng Ngãi;230035@gmail.com;10A4
230036;Nguyễn Lê Trường Thọ;2009-05-12;nam;TP. Hồ Chí Minh;230036@gmail.com;0
230037;Nguyễn Đình Lê Thuần;2009-11-15;nam;Long An;230037@gmail.com;10A2
230038;Phan Khánh Thuận;2009-04-24;nam;Hòa Bình;230038@gmail.com;10A1
230039;Phạm Công Thưởng;2009-09-10;nam;Hà Giang;230039@gmail.com;10A1
230040;Trần Văn Vinh;2009-08-22;nam;Bình Dương;230040@gmail.com;10A2
220011;Ngô Vũ Sang;2008-04-02;nam;Thái Nguyên;220011@gmail.com;11A1
220012;Lê Văn Tài;2008-09-19;nam;Bắc Giang;220012@gmail.com;11A1
220013;Nguyễn Anh Tấn;2008-05-30;nam;Nghệ An;220013@gmail.com;11A1
220014;Vũ Minh Thái;2008-11-29;nam;Thừa Thiên Huế;220014@gmail.com;11A1
